CiteKey	EntryType	Author	Title	Journal	Month	Year	Key	Note	BookTitle	Volume	Number	Pages	DOI	Editor	Publisher	Address	Series	HowPublished	Type	School	Url
HouLeeITRPMS23	article	{}{Hou}{}{Z.},{}{Lee}{}{T.},{}{Keidar}{}{M.}	In-situ adaptive plasma cancer treatment with electromechanical impedance spectroscopy	IEEE Transactions on Radiation and Plasma Medical Sciences	dec	2023	BI	in preparation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CLeeIRAL23	article	{}{C}{}{Tejaswi},{}{Lee}{}{T.}	Alternating learning for modular sensorimotor control of a flapping wing {UAV}	IEEE Robotics and Automation Letters	December	2023	GC	in preparation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YuLeeIRAL23	article	{}{Yu}{}{B.},{}{Lee}{}{T.}	Sim-to-real transfer for multi-agent reinforcement learning of a quadrotor {UAV}	IEEE Robotics and Automation Letters	December	2023	GC	in preparation	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CLeeASF23	inproceedings	{}{C}{}{Tejaswi},{}{Lee}{}{T.}	Deep neural pose estimation for a flapping wing unmanned aerial vehicle with visual-inertial sensor fusion	NULL	May	2023	GE	accepted	AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WicLeeASF23	inproceedings	{}{Wickramasuriya}{}{M.},{}{Lee}{}{T.},{}{Snyder}{}{M.}	Deep monocular relative {6D} pose estimation for ship-based autonomous uav	NULL	May	2023	GE	AIAA 2023-1789	AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
KanSriB23	article	{}{Kang}{}{C.},{}{Sridhar}{}{M.},{}{Twigg}{}{R.},{}{Pohly}{}{J.},{}{Lee}{}{T.},{}{Aono}{}{H.}	Power benefits of high-altitude flapping wing flight at {M}onarch butterfly scale	Biomimetics	August	2023	GM	NULL	NULL	8	4	352	10.3390/biomimetics8040352	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePICDC23	inproceedings	{}{Lee}{}{T.}	{G}-learning: Equivariant indirect optimal control with generating function	NULL	December	2023	GC	accepted	Proceedings of IEEE Conference on Decision and Control	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamLeeCEP23	article	{}{Gamagedara}{}{K.},{}{Lee}{}{T.},{}{Snyder}{}{M.}	Delayed {K}alman filter for vision-based autonomous flight in ocean environments	Control Engineering Practice	October	2023	GC	submitted	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YuLeePACC23b	inproceedings	{}{Yu}{}{B.},{}{Lee}{}{T.}	Multi-agent reinforcement learning for the low-level control of a quadrotor {UAV}	NULL	September	2023	GC	submitted	Proceedings of the American Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LeePACC23	inproceedings	{}{Lee}{}{T.}	Intermittent stochastic optimal control of the bouncing ball dynamics	NULL	September	2023	GC	submitted	Proceedings of the American Control Conference	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeePACC23	inproceedings	{}{Wang}{}{W.},{}{Lee}{}{T.}	{INS-GNSS} navigation for large attitude uncertanties with the matrix {F}isher--{G}aussian distribution	NULL	may	2023	GE	NULL	Proceedings of the American Control Conference	NULL	NULL	4858--4863	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
HouLeeIWPCT22	inproceedings	{}{Hou}{}{Z.},{}{Lee}{}{T.},{}{Keidar}{}{M.}	Canonical correlation analysis for real-time diagnostics of cancer cell viability with impedance	NULL	March	2023	BI	NULL	International Workshop On Plasma For Cancer Treatment	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TarPohASF23	inproceedings	{}{Tarpley}{}{M.},{}{Pohly}{}{J.},{}{Kang}{}{C.},{}{Lee}{}{T.},{}{Aono}{}{H.}	Numerical analysis of flight performance of bioinspired {M}ars flight vehicles	NULL	January	2023	GM	AIAA 2023-1219	AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
PohKanASF23	inproceedings	{}{Pohly}{}{J.},{}{Kang}{}{C.},{}{C}{}{Tejaswi},{}{Lee}{}{T.},{}{Aono}{}{H.}	Climbing flight of {M}onarch butterflies via wing and abdomen kinematic modulation using a high-fidelity numerical framework	NULL	January	2023	GM	AIAA 2023-1789	AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YuLeePACC23	inproceedings	{}{Yu}{}{B.},{}{Lee}{}{T.}	Equivariant reinforcement learning for quadrotor {UAV}	NULL	June	2023	GC	NULL	Proceedings of the American Control Conference	NULL	NULL	2842--2847	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CLeeIRAL22	article	{}{C}{}{Tejaswi},{}{Lee}{}{T.}	Constrained imitation learning for a flapping wing unmanned aerial vehicle	IEEE Robotics and Automation Letters	October	2022	GC	NULL	NULL	7	4	10534--10541	10.1109/LRA.2022.3194682	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeePIICMFI21	inproceedings	{}{Wang}{}{W.},{}{Lee}{}{T.}	Bingham--gaussian distribution on {S2xRn} for unscented attitude estimation	NULL	September	2021	GE	NULL	Proceedings of IEEE International Conference on Multisensor Fusion and Integration	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeeSJADS22	article	{}{Wang}{}{W.},{}{Lee}{}{T.}	Uncertainty propagation for general stochastic hybrid systems on compact {Lie} groups	SIAM Journal on Applied Dynamical Systems	June	2022	GE	NULL	NULL	21	3	2215--2240	10.1137/21M144147X	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
GamLeeSnyPAAF21	inproceedings	{}{Gamagedara}{}{K.},{}{Lee}{}{T.},{}{Snyder}{}{M.}	Unscented {K}alman filter for {INS}/{GNSS} data fusion with time delay	NULL	August	2021	GC	AIAA 2021-2486	Proceedings of AIAA Aviation Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SnyGamLeePAAF21	inproceedings	{}{Snyder}{}{M.},{}{Gamagedara}{}{K.},{}{Lee}{}{T.},{}{Pritchard}{}{J.}	In situ detection and analysis of ship air wakes from a {US} navy research vessel	NULL	August	2021	GC	AIAA 2021-2485	Proceedings of AIAA Aviation Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
MorSriPASF22	inproceedings	{}{Morris}{}{T.},{}{Sridhar}{}{M.},{}{Clark}{}{T.},{}{Schulze}{}{F.},{}{Kang}{}{C.},{}{Landrum}{}{D.},{}{Roh}{}{K.},{}{Lee}{}{Taeyoung},{}{Aono}{}{H.}	Experimental measurements of the wing deformation and force production of real and bioinspired artificial {M}onarch butterfly wings	NULL	January	2022	GM	AIAA 2022-0308	Proceedings of the AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CLeeIFAC21	inproceedings	{}{C}{}{Tejaswi},{}{Lee}{}{T.}	Geometric optimal controls for flapping wing {UAV} on a {L}ie group	NULL	October	2021	GC	NULL	IFAC Workshop on Lagrangian and Hamiltonian Methods for Nonlinear Control	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
CLeeICUR22	inproceedings	{}{C}{}{Tejaswi},{}{Lee}{}{T.}	Iterative supervised learning for regression with constraints	NULL	July	2022	GO	NULL	International Conference on Ubiquitous Robots	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
WanLeePASF22	inproceedings	{}{Wang}{}{W.},{}{Lee}{}{T.}	Spacecraft attitude and gyro-bias estimation with a single magnetometer on {SO(3)xRn}	NULL	January	2022	GE	AIAA 2022-0616	Proceedings of the AIAA Scitech Forum	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
